Title,Author,Publication Year
[Luhmann leicht gemacht] ; Lu man yi dian tong : xi tong li lun dao yin = Luhmann leicht gemacht : eine Einführung in die Systemtheorie / Ma ge te Bo ge hao si zhu ; Zhang Jin hui yi,"Berghaus, Margot [Verfasser]; Zhang, Jinhui [Übersetzer]",2016
Luhmanns Schatten : zur Funktion der Philosophie in der medialen Moderne / Claus-Artur Scheier,"Scheier, Claus-Artur [Verfasser]",2016
Luhmanns Schatten : Zur Funktion der Philosophie in der medialen Moderne / Claus-Artur Scheier,"Scheier, Claus-Artur [Verfasser]",2016
Niklas Luhmann / Julian Müller ; Ansgar Lorenz,"Müller, Julian F. [Verfasser]; Lorenz, Ansgar [Illustrator]",2016
[Luhmann] ; O direito da sociedade / Niklas Luhmann ; traduçao Saulo Krieger ; tradução das citações em latim Alexandre Agnolon,"Luhmann, Niklas [Verfasser]",2016
Ohne festen Boden zwischen den Zeilen - oder: Die Philosophie der Wende und die Wende der Philosophie / Hans-Joachim Petsche,"Petsche, Hans-Joachim [Verfasser]",2016
Orientierung im Nihilismus : Luhmann meets Nietzsche / Werner Stegmaier,"Stegmaier, Werner [Verfasser]",2016
[Schriften zu Kunst und Literatur] ; Pisma o sztuce i literaturze / Niklas Luhmann ; pod redakcją Nielsa Werbera ; przełożył Bogdan Baran,"Luhmann, Niklas [Verfasser]; Werber, Niels [Sonstige]; Baran, Bogdan [Übersetzer]",2016
[Luhmann] ; Samfundets samfund / Niklas Luhmann ; på dansk ved Erik Pedersen,"Luhmann, Niklas [Verfasser]",2016
"1 / Baba Yasuo, Uemura Takahiro, Eguchi Atsuhito yaku","Baba, Yasuo [Übersetzer]; Uemura, Takahiro [Übersetzer]; Eguchi, Atsuhito [Übersetzer]",2016
[Luhmann] ; Shakai no hō = Das Recht der Gesellschaft / Nikurasu Rūman,"Luhmann, Niklas [Verfasser]",2016
[Die Religion der Gesellschaft] ; Shakai no shūkyō = Die Religion der Gesellschaft / Nikurasu Rūman ; Hijikata Tōru/Morikawa Takemitsu/Watarai Tomoko/Hatanaka Mariko yaku,"Luhmann, Niklas [Verfasser]; Hijikata, Tōru [Mitwirkender]; Morikawa, Takemitsu [Mitwirkender]; Watarai, Tomoko [Mitwirkender]",2016
"[Luhmann] ; Sistemas sociais : esboço de uma teoria geral / Niklas Luhmann ; tradução Antonio C. Luz Costa, Roberto Dutra Torres Junior, Marco Antonio dos Santos Casanova","Luhmann, Niklas [Verfasser]",2016
[Systemtheorie] ; Teoría de sistemas : una introducción para las ciencias históricas y las humanidades / Frank Becker y Elke Reinhardt-Becker ; traductora Katja Fristsche,"Becker, Frank [Verfasser]; Reinhardt-Becker, Elke [Verfasser]; Fristsche, Katja [Übersetzer]; Chinchilla Perla [Herausgeber]; Lozano Herrera, Rubén [Herausgeber]; Torres Nafarrete, Javier [Herausgeber]",2016
"[Teoria della società] ; Teoria e shoqërisë / Niklas Luhmann, Raffaele De Giorgi","Luhmann, Niklas [Verfasser]; De Giorgi, Raffaele [Verfasser]",2016
Der Kommunikationsbegriff bei Niklas Luhmann und Jürgen Habermas. Ein Theorienvergleich,,2015
Gender Studies und Systemtheorie : Studien zu einem Theorietransfer,"Kampmann, Sabine [Herausgeber]; Karentzos, Alexandra [Herausgeber]; Küpper, Thomas [Herausgeber]",2015
Inklusion/Exklusion : Entwicklungen und Probleme einer systemtheoretischen Unterscheidung / Sina Farzin,"Farzin, Sina [Verfasser]",2015
"Interaktion – Organisation – Gesellschaft revisited : Anwendungen, Erweiterungen, Alternativen / hrsg. von Bettina Heintz und Hartmann Tyrell","Heintz, Bettina [Herausgeber]; Tyrell, Hartmann [Herausgeber]",2015
[Luhmann] ; Iubirea ca pasiune : despre codificarea intimităţii / Niklas Luhmann ; traducere din limba germană: Andrei Anastasescu,"Luhmann, Niklas [Verfasser]; Anastasescu, Andrei [Übersetzer]",2015
Le droit - un système social : un commentaire coopératif de Niklas Luhmann = Law as a social system / Lukas K. Sosoe (éd.),"Sosoe, Lukas K. [Herausgeber]",2015
[Die Religion der Gesellschaft] ; Náboz̆enství spolec̆nosti / Niklas Luhmann ; translation Tomáš Chudý ; Univerzita Karlova v Praze,"Luhmann, Niklas [Verfasser]",2015
Politische Soziologie / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Kieserling, André [Herausgeber]",2015
Politische Soziologie / Niklas Luhmann. Hrsg. von André Kieserling,"Luhmann, Niklas [Verfasser]; Kieserling, André [Herausgeber]",2015
"Rechtsnormen und Rationalität : zum Problem der Rechtsgeltung bei Hans Kelsen, Jürgen Habermas und Niklas Luhmann / von Johannes Meiners","Meiners, Johannes [Verfasser]",2015
"Rechtsnormen und Rationalität. : Zum Problem der Rechtsgeltung bei Hans Kelsen, Jürgen Habermas und Niklas Luhmann. / Johannes Meiners","Meiners, Johannes [Verfasser]",2015
Sa hoe i lon ib mun = Einführung in die Theorie der Gesellschaft / Ni keul la seu Lu man ; Di leu keu Be keo pyeon jib ; I Cheol olm gim,"Luhmann, Niklas [Verfasser]",2015
"[Das Erziehungssystem der Gesellschaft] ; Sa hoe ui gyo yug che gye = Das Erziehungssystem der Gesellschaft / Ni keul La seu lu man ; Di teo Len chen pyeon jib ; I Cheol, Bag Yeo seong olm gim","Luhmann, Niklas [Verfasser]",2015
