Title,Author,Publication Year
[Kelsen] ; Lo stato in Dante : una teologia politica per l'impero / Hans Kelsen ; presentazione di Pier Giuseppe Monateri ; postfazione di Tommaso Edoardo Frosini,"Kelsen, Hans [Verfasser]",2017
Naturstaatslehre : der äußere Sinn von Hans Kelsens Grundnorm als synthetisches Dogma eines staatenbündischen Weltprinzips mit der Natur / Sven Selinger,"Selinger, Sven [Verfasser]",2017
Naturstaatslehre. : Der äußere Sinn von Hans Kelsens Grundnorm als synthetisches Dogma eines staatenbündischen Weltprinzips mit der Natur. / Sven Selinger,"Selinger, Sven [Verfasser]",2017
"Probleme der Demokratie, Staatsidentität und Gesellschaft in Taiwan : eine Auseinandersetzung mit den Lehren von Carl Schmitt und Hans Kelsen / Tsung-I Chen","Chen, Tsung-I [Verfasser]",2017
"Probleme der Demokratie, Staatsidentität und Gesellschaft in Taiwan : Eine Auseinandersetzung mit den Lehren von Carl Schmitt und Hans Kelsen / Tsung-I Chen","Chen, Tsung-I [Verfasser]",2017
Reine Rechtslehre,"Kelsen, Hans [Verfasser]; Jestaedt, Matthias [Herausgeber]",2017
Reine Rechtslehre : Mit einem Anhang: Das Problem der Gerechtigkeit (Studienausgabe der 2. Auflage 1960) / Hans Kelsen,"Kelsen, Hans [Verfasser]; Jestaedt, Matthias [Herausgeber]",2017
"Secular Religion : A Polemic against the Misinterpretation of Modern Social Philosophy, Science and Politics as ""New Religions"" / Hans Kelsen","Kelsen, Hans [Verfasser]",2017
"Secular religion : a polemic against the misinterpretation of modern social philosophy, science and politics as ""new religions"" / Hans Kelsen ; edited from the estate of Hans Kelsen by Robert Walter, Clemens Jabloner and Klaus Zeleny","Kelsen, Hans [Verfasser]; Walter, Robert [Herausgeber]; Jabloner, Clemens [Herausgeber]; Zeleny, Klaus [Herausgeber]",2017
"The reconstruction of the juridico-political : affinity and divergence in Hans Kelsen and Max Weber / edited by Ian Bryan, Peter Langford and John McGarry ; Conference Hans Kelsen and Max Weber: Convergences and Divergences in Conceptions of the Juridico-Political","Bryan, Ian [Herausgeber]; Langford, Peter E. Herausgeber]; [McGarry, John [Herausgeber]",2017
