Title,Author,Publication Year
Vom doppelten Ursprung des Menschen : Verheissung - Erfahrung - Auftrag / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2009
"Der Körper, den ich habe - der Leib, der ich bin : Vortrag vom 27.4.1983 / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Mitwirkender]",2008
Der richtige Umgang mit den Dingen als Möglichkeit der Übung auf dem Weg : Vortrag vom 6.12.1969 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2008
Die drei Stufen menschlicher Entwicklung : Vortrag vom 3. Oktober 1970 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2008
Einführung in das Wesen der Meditation : Vortrag vom 23.2.1975 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2008
In der Begegnung mit dem Osten begegnen wir unserem Schatten : Vortrag vom 8.7.1973 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2008
Licht und Dunkel auf dem Weg zum eigenen Selbst : Vortrag vom Oktober 1983 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2008
Meditation - eine Verwandlungsübung : Vortrag vom 3.6.1972 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2008
"Weg-Kultur im Osten, Werk-Kultur im Westen : Vortrag vom 23.2.1975 / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Mitwirkender]",2008
Die elementaren Formen des religiösen Lebens / Émile Durkheim. Aus dem Franz. von Ludwig Schmidts,"Durkheim, Émile [Verfasser]",2007
"Sociología y educación : textos e intervenciones de los sociólogos clásicos / Karl Marx, Max Weber y Emile Durkheim. [Ed., trad., presentación y postfacio por: Fernando Álvarez-Uría]","Marx, Karl [Verfasser]; Weber, Max [Verfasser]; Durkheim, Émile [Verfasser]; Álvarez-Uría, Fernando [Herausgeber]",2007
Durchbruch zum Wesen : Aufsätze und Vorträge / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2006
"La religione dei diritti : Durkheim, Jellinek, Weber / Realino Marra","Marra, Realino [Verfasser]",2006
Sous le signe de la grande expérience / Karlfried Graf Dürckheim. Trad. de l'allemand par Denis Trierweiler,"Dürckheim, Karlfried [Verfasser]",2006
"Arbeiter, Unternehmer, Professioneller : zur sozialen Konstruktion von Beschäftigung in der Moderne / Manfred Stock","Stock, Manfred [Verfasser]",2005
"Arbeiter, Unternehmer, Professioneller : Zur sozialen Konstruktion von Beschäftigung in der Moderne",,2005
Hara : die Erdmitte des Menschen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2005
"Interpretative origins of classical sociology : Weber, Husserl, Schutz, Durkheim, Simmel / Jules J. Wanderer","Wanderer, Jules J. [Verfasser]",2005
"La influencia del pensamiento alemán en la sociología de Émile Durkheim / Gregorio Robles Morchón. Garrigues Cátedra, Universidad de Navarra","Robles Morchón, Gregorio [Verfasser]",2005
Pratique de l'expérience spirituelle / Karlfried Graf Dürckheim. Trad. de l'allemand par Catherine de Bose,"Dürckheim, Karlfried [Verfasser]",2005
Sagesse et amour : méditations quotidiennes / Karlfried Dürckheim. Ed. établie par Christa Well. Trad. de l'allemand par Jacques Detreves,"Dürckheim, Karlfried [Verfasser]",2005
"Untersuchungen zum gelebten Raum / Graf Karlfried von Dürckheim. Jürgen Hasse (Hrsg.). Mit Einf. von Jürgen Hasse ... [Institut für Didaktik der Geographie, J.-W.Goethe-Universität]","Dürckheim, Karlfried [Verfasser]; Hasse, Jürgen [Herausgeber]",2005
Vom doppelten Ursprung des Menschen / Karlfried Dürckheim. Vorw. von Wolf Büntig,"Dürckheim, Karlfried [Verfasser]",2005
Hara : the vital center of man / Karlfried Graf Dürckheim. Transl. from the German by Sylvia-Monica von Kospoth in collab. with Estelle R. Healey,"Dürckheim, Karlfried [Verfasser]",2004
"Mensch und Macht : Marx, Durkheim, Simmel, Weber, Gehlen / von Annika Wagner","Wagner, Annika [Verfasser]",2004
"""Deutschland über alles"" : die deutsche Gesinnung und der Krieg ; (1914 - 1918) / Emile Durkheim. Aus dem Franz. übers. von Klaus H. Fischer","Durkheim, Émile [Verfasser]",2003
Hara : ningen-no-jūshin = Hara : die Erdmitte des Menschen / Kārufurīto Dyurukuhaimu cho. Shitahodo Yūkichi kanshū. Ochiai Ryōichi ; Okuno Yasuaki ; Ishimura Takashi yaku,"Dürckheim, Karlfried [Verfasser]",2003
La gata prodigiosa y otros textos Zen / Karlfried Graf Dürckheim. Con dibujos de Klaus Bertelsmann. [Trad. al castellano por M.a Isabel Hoppichler],"Dürckheim, Karlfried [Herausgeber]",2003
Nation und Gesellschaft : Selbstthematisierungen in Deutschland und Frankreich / Ulrich Bielefeld,"Bielefeld, Ulrich [Verfasser]",2003
Wer hat den Krieg gewollt? : die Ursprünge des Krieges (1914 - 1918) nach den diplomatischen Dokumenten / Emile Durkheim ; Ernest Denis. Aus dem Franz. übers. von Klaus H. Fischer,"Durkheim, Émile [Verfasser]; Denis, Ernest [Verfasser]",2003
Hara : centro vital del hombre / Karlfried Dürckheim. [Trad. del francés: Concha Quintana],"Dürckheim, Karlfried [Verfasser]",2002
L' aspect numineux de l'amour domino : totémisme et biculturalité / Clément Mutombo,"Mutombo, Clément [Verfasser]",2002
Menschenrechte bei Durkheim und Weber : normative Dimensionen des soziologischen Diskurses der Moderne / Matthias König,"Koenig, Matthias [Verfasser]",2002
Reappraising Durkheim for the study and teaching of religion today / ed. by thomas A. Idinopulos and Brian C. Wilson,"Idinopulos, Thomas A. [Herausgeber]",2002
Der Alltag als Übung : vom Weg zur Verwandlung / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2001
Der Ruf nach dem Meister : die Bedeutung geistiger Führung auf dem Weg zum Selbst / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2001
Theorien der Arbeitsteilung : Célestin Bouglés Einfluß auf Émile Durkheims Arbeitsteilungsbuch / von Ulrich Joachim Maßner,"Maßner, Ulrich Joachim [Verfasser]",2001
Vom doppelten Ursprung des Menschen / Karlfried Graf Dürckheim. Vorw. von Wolf Büntig,"Dürckheim, Karlfried [Verfasser]",2001
Wunderbare Katze und andere Zen-Texte / Karlfried Graf Dürckheim. Mit Zeichn. von Klaus Bertelsmann,"Dürckheim, Karlfried [Herausgeber]",2001
A nyugalom japán kultusza / Karlfried Dürckheim. [Ford.: Gyertyán Katalin],"Dürckheim, Karlfried [Verfasser]",2000
Hacia la via iniciática : meditar: ¿por qué y cómo? / Karlfried Dürckheim. [Trad. al castellano por Concha Quintana],"Dürckheim, Karlfried [Verfasser]",2000
Der initiatische Weg / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1999
Die Wirklichkeit des Menschen als Subjekt / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1999
Einführung in die Praxis der Meditation / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1999
Hara : die Erdmitte des Menschen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",1999
Meditation als Geisteshaltung / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1999
Physik der Sitten und des Rechts : Vorlesungen zur Soziologie der Moral / Emile Durkheim. Übers. von Michael Bischoff. Hrsg. von Hans-Peter Müller,"Durkheim, Émile [Verfasser]",1999
"Reinventing the wheel : Marx, Durkheim and comparative criminology / Ni He","He, Ni [Verfasser]",1999
"Suizid, sozialer Wandel und die Gegenwart der Zukunft : explorative Analysen zur Entwicklung des Suizids in der Schweiz (1881 - 1990) / Vladeta Ajdacic-Gross","Ajdacic-Gross, Vladeta [Verfasser]",1999
Dzen i nie : [Živata istina bez slova i pătjat na zapadnija čovek] / Karlfrid Djurkchajm. Prevod ot nemski Žana Cenova,"Dürckheim, Karlfried [Verfasser]",1998
Kritik der historisch-existenzialistischen Soziologie : ein Beitrag zur Begründung einer objektiven Soziologie / René König. Neu hrsg. und mit einem Nachw. vers. von H.-J. Hummell,"König, René [Verfasser]",1998
"La science n'éduquera pas : Comte, Durkheim, le modèle introuvable / Alain Kerlan. Préf. de Nanine Charbonnel","Kerlan, Alain [Verfasser]",1998
"Meditation, Leid und Christentum / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Mitwirkender]",1998
Östliche Weisheit und westlicher Geist im Spannungsfeld der Gegenwart / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1998
Der Alltag als Übung / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1997
Die initiatische Leibtherapie / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",1997
"Marx, Durkheim, Weber : formations of modern social thought / Ken Morrison","Morrison, Ken [Verfasser]",1997
Ton der Stille / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",1997
Auf der Suche nach dem inneren Meister : ausgewählte Texte / Karlfried Graf Dürckheim. Hrsg. und erl. von Gerhard Wehr,"Dürckheim, Karlfried [Verfasser]; Wehr, Gerhard [Herausgeber]",1996
El camino de la trascendencia : el hombre en busca de su integridad / Karlfried Dürckheim. [Trad. al castellano por Concha Quintana de la versión francesa],"Dürckheim, Karlfried [Verfasser]",1996
El rendimiento deportivo y la madurez humana : el arte de aumentar el bienestar y la alegría de vivir a través de la práctica integral del deporte ; un camino activo de autoayuda y curación / Karlfried Dürckheim. [Trad. del alemán: Francisco Javier Escobedo Soriano],"Dürckheim, Karlfried [Verfasser]",1996
El sonido del silencio / Karlfried Graf Dürckheim. Trad. al castellano de Concha Quintana,"Dürckheim, Karlfried [Verfasser]",1996
Im Silberstrom des Seins : das Karlfried-Graf-Dürckheim-Lesebuch / hrsg. und eingeleitet von Ludger Hohn-Kemler,"Dürckheim, Karlfried [Verfasser]; Hohn-Kemler, Ludger [Herausgeber]",1996
L' homme et sa double origine / Karlfried Graf Dürckheim. Trad. de l'allemand par Catherine de Bose,"Dürckheim, Karlfried [Verfasser]",1996
Mein Weg zur Mitte : Gespräche mit Alphonse Goettmann / Karlfried Graf Dürckheim. [Übers. aus dem Franz. von Bettine Braun],"Dürckheim, Karlfried [Verfasser]; Goettmann, Alphonse [Verfasser]",1996
Solidarity : a synthesis of personalism and communalism in the thought of Karol Wojtyla/Pope John Paul II / Kevin P. Doran,"Doran, Kevin [Verfasser]",1996
Über soziale Arbeitsteilung : Studie über die Organisation höherer Gesellschaften / Emile Durkheim,"Durkheim, Émile [Verfasser]; Luhmann, Niklas",1996
Wunderbare Katze und andere Zen-Texte / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Herausgeber]",1996
Das Tor zum Geheimen öffnen / Karlfried Graf Dürckheim. Ausgew. und eingel. von Gerhard Wehr,"Dürckheim, Karlfried [Verfasser]",1995
Der Selbstmord / Emile Durkheim. Übers. von Sebastian und Hanne Herkommer,"Durkheim, Émile [Verfasser]",1995
"Der Weg ist das Ziel : Gespräch mit Karl Schnelting in der Reihe ""Zeugen des Jahrhunderts"" / Karlfried Graf Dürckheim. Hrsg. von Ingo Hermann","Dürckheim, Karlfried [Verfasser]; Schnelting, Karl [Verfasser]",1995
Die Regeln der soziologischen Methode / Emile Durkheim. Hrsg. und eingeleitet von René König,"Durkheim, Émile [Verfasser]",1995
"Erziehung, Moral und Gesellschaft : Vorlesung an der Sorbonne 1902/1903 / Emile Durkheim. Mit einer Einl. von Paul Fauconnet. Übers. von Ludwig Schmidts","Durkheim, Émile [Verfasser]; Durkheim, Émile Durkheim, Émile",1995
Meditieren - wozu und wie : die Wende zum Initiatischen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",1995
Sous le signe de la Grande Expérience / Karlfried Graf Dürckheim. Trad. de l'allemand par Denis Trierweiler,"Dürckheim, Karlfried [Verfasser]",1995
Über Deutschland : Texte aus den Jahren 1887 bis 1915 / Emile Durkheim. Hrsg. von Franz Schultheis und Andreas Gipper. Aus dem Franz. von Andreas Gipper,"Durkheim, Émile [Verfasser]",1995
Vom doppelten Ursprung des Menschen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",1995
Die elementaren Formen des religiösen Lebens / Emile Durkheim. Übers. von Ludwig Schmidts,"Durkheim, Émile [Verfasser]",1994
Durchbruch zum Wesen : Aufsätze und Vorträge / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",1994
"Durkheim et Weber, vers la fin des malentendus? : Actes du Symposium ""Durkheim - Weber"" ; organisé par l'Association Internationale des Sociologues de Langue Française et par la Faculté des Sciences Sociales de l'Université de Strasbourg 2 les 8 et 9 avril 1991 / contributions de Jean-Michel Berthelot ... Rassemblées par Monique Hirschhorn et Jacques Coenen-Huther","Hirschhorn, Monique Herausgeber]; [Berthelot, Jean-Michel [Mitwirkender]",1994
In search of dreamtime : the quest for the origin of religion / Tomoko Masuzawa,"Masuzawa, Tomoko [Verfasser]",1994
L' expérience de la transcendance / Karlfried Graf Dürckheim. Trad. de l'allemand par M.-P. Schlembach,"Dürckheim, Karlfried [Verfasser]",1994
Práctica del camino interior : lo cotidiano como ejercicio / Karlfried Graf Dürckheim. [Trad. al castellano por Concha Quintana],"Dürckheim, Karlfried [Verfasser]",1994
"Suizid: der Suizid bei Durkheim : Seminar Suizid 1990, Fachhochschule für Öffentliche Verwaltung Nordrhein-Westfalen, Abteilung Bielefeld / Kerstin Ollech","Ollech, Kerstin [Verfasser]",1994
Vom doppelten Ursprung des Menschen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",1994
De roep om de meester / Karlfried Dürckheim. [Vertaling: Joan Th. Stakenburg],"Dürckheim, Karlfried [Verfasser]",1993
"Der Körper, den ich habe - der Leib, der ich bin : Vortrag vom 27.4.1983 / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Verfasser]",1993
